pago_id,prestamo_id,numero_cuota,fecha_vencimiento_cuota,fecha_pago,monto_cuota_programada,monto_capital_programado,monto_interes_programado,monto_pagado_total,monto_capital_pagado,monto_interes_pagado,monto_mora_pagado,saldo_capital_despues_pago,dias_retraso,estado_pago,canal_pago,referencia_pago
1,1,1,2023-06-06,2023-06-06,393.63,238.91,154.72,393.63,238.91,154.72,0.0,8979.82,0,Puntual,App Móvil,REF0000000001
2,1,2,2023-07-06,2023-07-06,393.63,242.92,150.71,393.63,242.92,150.71,0.0,8736.9,0,Puntual,Débito Automático,REF0000000002
3,1,3,2023-08-05,2023-08-05,393.63,247.0,146.63,393.63,247.0,146.63,0.0,8489.9,0,Puntual,Agencia,REF0000000003
4,1,4,2023-09-04,2023-09-04,393.63,251.14,142.49,393.63,251.14,142.49,0.0,8238.76,0,Puntual,Agencia,REF0000000004
5,1,5,2023-10-04,2023-10-04,393.63,255.36,138.27,393.63,255.36,138.27,0.0,7983.4,0,Puntual,Débito Automático,REF0000000005
6,1,6,2023-11-03,2023-11-03,393.63,259.64,133.99,393.63,259.64,133.99,0.0,7723.76,0,Puntual,App Móvil,REF0000000006
7,1,7,2023-12-03,2023-12-03,393.63,264.0,129.63,393.63,264.0,129.63,0.0,7459.76,0,Puntual,Transferencia Interbancaria,REF0000000007
8,1,8,2024-01-02,2024-01-02,393.63,268.43,125.2,393.63,268.43,125.2,0.0,7191.33,0,Puntual,App Móvil,REF0000000008
9,1,9,2024-02-01,2024-02-01,393.63,272.94,120.69,393.63,272.94,120.69,0.0,6918.39,0,Puntual,Cajero ATM,REF0000000009
10,1,10,2024-03-02,2024-05-25,393.63,277.52,116.11,410.16,277.52,116.11,16.53,6640.87,84,Muy Tardío,Agencia,REF0000000010
11,1,11,2024-04-01,2024-04-01,393.63,282.17,111.46,393.63,282.17,111.46,0.0,6358.7,0,Puntual,Agencia,REF0000000011
12,1,12,2024-05-01,2024-05-01,393.63,286.91,106.72,393.63,286.91,106.72,0.0,6071.79,0,Puntual,Cajero ATM,REF0000000012
13,1,13,2024-05-31,2024-06-03,393.63,291.73,101.9,393.63,291.73,101.9,0.0,5780.06,3,Con Gracia,App Móvil,REF0000000013
14,1,14,2024-06-30,2024-06-30,393.63,296.62,97.01,393.63,296.62,97.01,0.0,5483.44,0,Puntual,App Móvil,REF0000000014
15,1,15,2024-07-30,2024-07-30,393.63,301.6,92.03,393.63,301.6,92.03,0.0,5181.84,0,Puntual,App Móvil ,REF0000000015
