prestamo_id,cliente_id,sucursal_id,producto_id,oficial_id,numero_contrato,fecha_otorgamiento,fecha_vencimiento,monto_original,saldo_capital_vigente,tasa_interes_nominal_anual,tasa_interes_efectiva_anual,plazo_meses,tipo_credito,moneda,frecuencia_pago,cuota_programada,numero_cuotas_total,numero_cuotas_pagadas,numero_cuotas_pendientes,estado,dias_mora,clasificacion_riesgo_sbs,garantia_tipo,garantia_valor,proposito_credito,canal_desembolso,fecha_primer_pago_programado,fecha_ultimo_pago_real
1,4848,23,6,60,CONT-00000001,2023-05-07,2025-10-23,9218.73,3596.11,20.14,22.1071,30,Personal,Sol,Mensual,393.63,30,20,10,Vigente,0,Normal,,0.0,Viaje / Turismo,Transferencia Bancaria,2023-06-06,27-12-2024
2,44,5,1,21,CONT-00000002,2021/02/12,2025-07-21,7767.38,1473.65,21.56,23.8234,54,Personal,PEN,mensual,225.92,54,47,7,Vigente,0,Normal,Aval,0.0,Mejoras del Hogar,Agencia,2021-03-14,2024-12-23
3,2474,16,1,35,CONT-00000003,2023-11-22,2027-11-01,12512.04,10640.44,36.0,42.5761,48,Personal,PEN,Mensual,495.2,48,13,35,Vigente,0,Normal,Aval,0.0,Mejoras del Hogar,Transferencia Bancaria,22-12-2023,16/12/2024
4,637,15,4,32,CONT-00000004,19/04/2024,2024-10-16,3555.11,0.0,42.35,51.6186,6,Microempresa,PEN,Mensual,667.82,6,6,0,Cancelado,0,Normal,Carta Fianza,0.0,Expansión de Negocio,Agencia,19/05/2024,2024/10/16
5,3622,10,4,12,CONT-00000005,19-04-2020,2022-10-06,8388.15,0.0,32.2,37.404,30,Microempresa,PEN,Mensual,410.63,30,30,0,Cancelado,0,Normal,Sin Garantía,0.0,Capital de Trabajo,Agencia,19/05/2020,2022-10-06
6,777,8,2,5,CONT-00000006,2020-08-07,25/09/2045,198289.46,188558.1,9.76,10.2087,306,Hipotecario,PEN,Mensual,1760.36,306,53,253,Vigente,0,Normal,Bien Inmueble,244607.29,Compra de Vivienda,Cheque de Gerencia,2020/09/06,14-12-2024
7,3591,17,1,15,CONT-00000007,2023-02-25,2024/08/18,32613.23,0.0,28.06,31.9654,18,Personal,PEN,Mensual,2240.62,18,18,0,Cancelado,0,Normal,Aval,0.0,,Cheque de Gerencia,27/03/2023,2024-08-18
8,399,11,8,17,CONT-00000008,2024/07/07,2024/10/05,2048.86,0.0,27.55,31.3093,3,Microempresa,PEN,Mensual,714.55,3,3,0,Cancelado,0,Normal,Carta Fianza,0.0,Capital de Trabajo,Agencia,2024-08-06,2024/10/05
9,3822,20,1,26,CONT-00000009,20-02-2020,30/01/2024,41803.6,0.0,27.99,31.8752,48,Personal,PEN,Mensual,1456.71,48,48,0,Cancelado,0,Normal,Aval,0.0,Viaje / Turismo,Agencia,2020-03-21,2024/01/30
10,2878,22,6,7,CONT-00000010,17-06-2021,2025/11/23,66091.54,32134.06,21.11,23.2771,54,Personal,PEN,Mensual ,1905.9,54,43,11,Moroso,252,Dudoso,Sin Garantía,0.0,Viaje / Turismo,Cheque de Gerencia,17/07/2021,2024-12-28
