"","PD04638PD"
"","Tipo de cambio - TC Interbancario (S/ por US$) - Venta"
01Ene19,n.d.
02Ene19,3.37157142857143
03Ene19,3.37014285714286
04Ene19,3.35528571428571
07Ene19,3.34985714285714
08Ene19,3.34914285714286
09Ene19,3.33428571428571
10Ene19,3.343
11Ene19,3.34257142857143
14Ene19,3.34514285714286
15Ene19,3.33842857142857
16Ene19,3.332
17Ene19,3.33214285714286
18Ene19,3.31885714285714
21Ene19,3.32828571428571
22Ene19,3.33685714285714
23Ene19,3.338
24Ene19,3.34785714285714
25Ene19,3.34271428571429
28Ene19,3.356
29Ene19,3.35942857142857
30Ene19,3.35342857142857
31Ene19,3.33157142857143
01Feb19,3.329
04Feb19,3.33114285714286
05Feb19,3.32857142857143
06Feb19,3.32642857142857
07Feb19,3.32428571428571
08Feb19,3.32328571428571
11Feb19,3.33057142857143
12Feb19,3.33214285714286
13Feb19,3.338
14Feb19,3.34071428571429
15Feb19,3.32942857142857
18Feb19,3.32085714285714
19Feb19,3.31657142857143
20Feb19,3.31871428571429
21Feb19,3.32085714285714
22Feb19,3.30785714285714
25Feb19,3.30442857142857
26Feb19,3.30942857142857
27Feb19,3.30328571428571
28Feb19,3.30328571428571
01Mar19,3.30628571428571
04Mar19,3.31114285714286
05Mar19,3.31157142857143
06Mar19,3.30914285714286
07Mar19,3.31042857142857
08Mar19,3.31414285714286
11Mar19,3.3079
12Mar19,3.30142857142857
13Mar19,3.29271428571429
14Mar19,3.29742857142857
15Mar19,3.29814285714286
18Mar19,3.29985714285714
19Mar19,3.30142857142857
20Mar19,3.29528571428571
21Mar19,3.29314285714286
22Mar19,3.303
25Mar19,3.30371428571429
26Mar19,3.305
27Mar19,3.31728571428571
28Mar19,3.31785714285714
29Mar19,3.32
01Abr19,3.30885714285714
02Abr19,3.31157142857143
03Abr19,3.30014285714286
04Abr19,3.29757142857143
05Abr19,3.29742857142857
08Abr19,3.29114285714286
09Abr19,3.29285714285714
10Abr19,3.29514285714286
11Abr19,3.29928571428571
12Abr19,3.29514285714286
15Abr19,3.29857142857143
16Abr19,3.29585714285714
17Abr19,3.29571428571429
18Abr19,n.d.
19Abr19,n.d.
22Abr19,3.30514285714286
23Abr19,3.31142857142857
24Abr19,3.323
25Abr19,3.33171428571429
26Abr19,3.31928571428571
29Abr19,3.31642857142857
30Abr19,3.30857142857143
01May19,n.d.
02May19,3.31528571428571
03May19,3.30142857142857
06May19,3.312
07May19,3.315
08May19,3.31557142857143
09May19,3.32314285714286
10May19,3.31542857142857
13May19,3.33271428571429
14May19,3.32314285714286
15May19,3.32285714285714
16May19,3.31671428571429
17May19,3.317
20May19,3.34142857142857
21May19,3.34542857142857
22May19,3.34557142857143
23May19,3.35085714285714
24May19,3.34485714285714
27May19,3.34814285714286
28May19,3.35542857142857
29May19,3.35757142857143
30May19,3.36357142857143
31May19,3.374
03Jun19,3.37242857142857
04Jun19,3.34928571428571
05Jun19,3.35028571428571
06Jun19,3.33485714285714
07Jun19,3.33371428571429
10Jun19,3.33428571428571
11Jun19,3.32985714285714
12Jun19,3.332
13Jun19,3.33142857142857
14Jun19,3.339
17Jun19,3.34871428571429
18Jun19,3.33685714285714
19Jun19,3.33371428571429
20Jun19,3.31128571428571
21Jun19,3.30285714285714
24Jun19,3.30028571428571
25Jun19,3.29814285714286
26Jun19,3.29885714285714
27Jun19,3.29214285714286
28Jun19,3.28957142857143
01Jul19,3.29
02Jul19,3.29142857142857
03Jul19,3.29571428571429
04Jul19,3.291
05Jul19,3.29614285714286
08Jul19,3.289
09Jul19,3.29185714285714
10Jul19,3.28685714285714
11Jul19,3.28485714285714
12Jul19,3.28357142857143
15Jul19,3.28585714285714
16Jul19,3.28742857142857
17Jul19,3.28642857142857
18Jul19,3.288
19Jul19,3.28457142857143
22Jul19,3.28571428571429
23Jul19,3.29271428571429
24Jul19,3.294
25Jul19,3.29914285714286
26Jul19,3.29942857142857
29Jul19,n.d.
30Jul19,n.d.
31Jul19,3.31085714285714
01Ago19,3.31971428571429
02Ago19,3.347
05Ago19,3.38457142857143
06Ago19,3.38242857142857
07Ago19,3.385
08Ago19,3.38128571428571
09Ago19,3.38185714285714
12Ago19,3.38914285714286
13Ago19,3.37885714285714
14Ago19,3.39428571428571
15Ago19,3.39328571428571
16Ago19,3.38428571428571
19Ago19,3.38571428571429
20Ago19,3.381
21Ago19,3.378
22Ago19,3.37914285714286
23Ago19,3.37542857142857
26Ago19,3.37942857142857
27Ago19,3.38885714285714
28Ago19,3.38971428571429
29Ago19,n.d.
30Ago19,n.d.
02Set19,3.40457142857143
03Set19,3.40571428571429
04Set19,3.38928571428572
05Set19,3.36442857142857
06Set19,3.34328571428571
09Set19,3.34585714285714
10Set19,3.34671428571429
11Set19,3.34457142857143
12Set19,3.32957142857143
13Set19,3.31771428571429
16Set19,3.327
17Set19,3.34485714285714
18Set19,3.345
19Set19,3.35442857142857
20Set19,3.36128571428571
23Set19,3.36357142857143
24Set19,3.34571428571429
25Set19,3.35185714285714
26Set19,3.36585714285714
27Set19,3.38728571428571
30Set19,3.38314285714286
01Oct19,3.39228571428571
02Oct19,3.387
03Oct19,3.37671428571429
04Oct19,3.37742857142857
07Oct19,3.388
08Oct19,n.d.
09Oct19,3.37642857142857
10Oct19,3.36185714285714
11Oct19,3.35757142857143
14Oct19,3.36685714285714
15Oct19,3.37157142857143
16Oct19,3.36942857142857
17Oct19,3.354
18Oct19,3.346
21Oct19,3.345
22Oct19,3.34271428571429
23Oct19,3.34614285714286
24Oct19,3.349
25Oct19,3.34614285714286
28Oct19,3.33214285714286
29Oct19,3.33714285714286
30Oct19,3.34828571428571
31Oct19,n.d.
01Nov19,n.d.
04Nov19,3.33471428571429
05Nov19,3.33728571428571
06Nov19,3.33985714285714
07Nov19,3.34571428571429
08Nov19,3.35528571428571
11Nov19,3.36385714285714
12Nov19,3.37657142857143
13Nov19,3.39342857142857
14Nov19,3.39128571428571
15Nov19,3.37028571428572
18Nov19,3.37085714285714
19Nov19,3.37871428571429
20Nov19,3.387
21Nov19,3.37871428571429
22Nov19,3.38414285714286
25Nov19,3.38771428571429
26Nov19,3.384
27Nov19,3.39271428571429
28Nov19,3.389
29Nov19,3.40014285714286
02Dic19,3.40071428571429
03Dic19,3.38985714285714
04Dic19,3.383
05Dic19,3.37728571428571
06Dic19,3.37828571428571
09Dic19,3.37914285714286
10Dic19,3.39128571428571
11Dic19,3.39271428571429
12Dic19,3.391
13Dic19,3.36928571428572
16Dic19,3.35871428571429
17Dic19,3.34542857142857
18Dic19,3.33742857142857
19Dic19,3.33885714285714
20Dic19,3.32357142857143
23Dic19,3.31614285714286
24Dic19,3.31628571428571
25Dic19,n.d.
26Dic19,3.32
27Dic19,3.322
30Dic19,3.317
31Dic19,3.31457142857143
01Ene20,n.d.
02Ene20,3.30314285714286
03Ene20,3.312
06Ene20,3.324
07Ene20,3.32657142857143
08Ene20,3.31914285714286
09Ene20,3.31985714285714
10Ene20,3.32457142857143
13Ene20,3.33785714285714
14Ene20,3.328
15Ene20,3.32471428571429
16Ene20,3.324
17Ene20,3.32271428571429
20Ene20,3.32171428571429
21Ene20,3.31857142857143
22Ene20,3.31485714285714
23Ene20,3.32114285714286
24Ene20,3.32257142857143
27Ene20,3.33771428571429
28Ene20,3.33442857142857
29Ene20,3.34671428571429
30Ene20,3.363
31Ene20,3.37742857142857
03Feb20,3.37457142857143
04Feb20,3.36085714285714
05Feb20,3.36028571428572
06Feb20,3.37414285714286
07Feb20,3.38828571428571
10Feb20,3.39714285714286
11Feb20,3.389
12Feb20,3.38185714285714
13Feb20,3.38457142857143
14Feb20,3.38242857142857
17Feb20,3.38271428571429
18Feb20,3.38528571428571
19Feb20,3.38385714285714
20Feb20,3.39157142857143
21Feb20,3.39271428571429
24Feb20,3.40457142857143
25Feb20,3.40671428571429
26Feb20,3.41271428571429
27Feb20,3.43114285714286
28Feb20,3.456
02Mar20,3.445
03Mar20,3.43
04Mar20,3.42257142857143
05Mar20,3.44671428571429
06Mar20,3.47685714285714
09Mar20,3.50571428571429
10Mar20,3.498
11Mar20,3.51128571428571
12Mar20,3.54771428571429
13Mar20,3.52957142857143
16Mar20,3.55642857142857
17Mar20,3.55142857142857
18Mar20,3.57316666666667
19Mar20,3.5635
20Mar20,3.52883333333333
23Mar20,3.53966666666667
24Mar20,3.52166666666667
25Mar20,3.49383333333333
26Mar20,3.42616666666667
27Mar20,3.4255
30Mar20,3.44133333333333
31Mar20,3.44016666666667
01Abr20,3.46733333333333
02Abr20,3.45566666666667
03Abr20,3.4585
06Abr20,3.41283333333333
07Abr20,3.37283333333333
08Abr20,3.35733333333333
09Abr20,n.d.
10Abr20,n.d.
13Abr20,3.38183333333333
14Abr20,3.39533333333333
15Abr20,3.41933333333333
16Abr20,3.413
17Abr20,3.4065
20Abr20,3.40983333333333
21Abr20,3.396
22Abr20,3.376
23Abr20,3.36966666666667
24Abr20,3.38633333333333
27Abr20,3.4015
28Abr20,3.38633333333333
29Abr20,3.37166666666667
30Abr20,3.38116666666667
01May20,n.d.
04May20,3.39
05May20,3.39216666666667
06May20,3.40916666666667
07May20,3.40616666666667
08May20,3.39816666666667
11May20,3.42133333333333
12May20,3.4265
13May20,3.43983333333333
14May20,3.45466666666667
15May20,3.44416666666667
18May20,3.42133333333333
19May20,3.43016666666667
20May20,3.40533333333333
21May20,3.406
22May20,3.42883333333333
25May20,3.4275
26May20,3.42633333333333
27May20,3.453
28May20,3.4415
29May20,3.43233333333333
01Jun20,3.4195
02Jun20,3.40133333333333
03Jun20,3.392
04Jun20,3.428
05Jun20,3.43116666666667
08Jun20,3.44166666666667
09Jun20,3.44816666666667
10Jun20,3.43516666666667
11Jun20,3.45766666666667
12Jun20,3.46366666666667
15Jun20,3.486
16Jun20,3.47633333333333
17Jun20,3.49583333333333
18Jun20,3.51733333333333
19Jun20,3.51133333333333
22Jun20,3.4965
23Jun20,3.51966666666667
24Jun20,3.5265
25Jun20,3.50883333333333
26Jun20,3.52366666666667
29Jun20,n.d.
30Jun20,3.54383333333333
01Jul20,3.53583333333333
02Jul20,3.51933333333333
03Jul20,3.53266666666667
06Jul20,3.54783333333333
07Jul20,3.546
08Jul20,3.53333333333333
09Jul20,3.5185
10Jul20,3.50666666666667
13Jul20,3.5
14Jul20,3.50266666666667
15Jul20,3.49916666666667
16Jul20,3.50133333333333
17Jul20,3.51533333333333
20Jul20,3.51566666666667
21Jul20,3.49383333333333
22Jul20,3.50483333333333
23Jul20,3.5205
24Jul20,3.53533333333333
27Jul20,3.52666666666667
28Jul20,n.d.
29Jul20,3.50966666666667
30Jul20,3.51066666666667
31Jul20,3.53
03Ago20,3.5445
04Ago20,3.55166666666667
05Ago20,3.54816666666667
06Ago20,3.5475
07Ago20,3.55183333333333
10Ago20,3.56066666666667
11Ago20,3.56266666666667
12Ago20,3.56833333333333
13Ago20,3.57283333333333
14Ago20,3.576
17Ago20,3.58
18Ago20,3.5735
19Ago20,3.56266666666667
20Ago20,3.577
21Ago20,3.58483333333333
24Ago20,3.58366666666667
25Ago20,3.592
26Ago20,3.58366666666667
27Ago20,3.56816666666667
28Ago20,3.5395
31Ago20,3.54583333333333
01Set20,3.52633333333333
02Set20,3.53333333333333
03Set20,3.5425
04Set20,3.54883333333333
07Set20,3.53816666666667
08Set20,3.54566666666667
09Set20,3.5355
10Set20,3.54216666666667
11Set20,3.5725
14Set20,3.56933333333333
15Set20,3.5495
16Set20,3.53933333333333
17Set20,3.53433333333333
18Set20,3.52583333333333
21Set20,3.54816666666667
22Set20,3.55466666666667
23Set20,3.57133333333333
24Set20,3.58333333333333
25Set20,3.59483333333333
28Set20,3.59116666666667
29Set20,3.59566666666667
30Set20,3.60016666666667
01Oct20,3.60466666666667
02Oct20,3.62
05Oct20,3.60766666666667
06Oct20,3.58416666666667
07Oct20,3.57833333333333
08Oct20,3.57966666666667
09Oct20,3.57266666666667
12Oct20,3.59
13Oct20,3.59533333333333
14Oct20,3.592
15Oct20,3.58683333333333
16Oct20,3.58033333333333
19Oct20,3.5895
20Oct20,3.5895
21Oct20,3.59933333333333
22Oct20,3.60333333333333
23Oct20,3.60383333333333
26Oct20,3.60433333333333
27Oct20,3.6085
28Oct20,3.61366666666667
29Oct20,3.6125
30Oct20,3.614
02Nov20,3.61566666666667
03Nov20,3.60516666666667
04Nov20,3.59883333333333
05Nov20,3.59333333333333
06Nov20,3.59916666666667
09Nov20,3.58533333333333
10Nov20,3.6275
11Nov20,3.62366666666667
12Nov20,3.63766666666667
13Nov20,3.6475
16Nov20,3.66666666666667
17Nov20,3.62583333333333
18Nov20,3.57783333333333
19Nov20,3.57616666666667
20Nov20,3.58733333333333
23Nov20,3.6005
24Nov20,3.60783333333333
25Nov20,3.60883333333333
26Nov20,3.6065
27Nov20,3.6055
30Nov20,3.60783333333333
01Dic20,3.60566666666667
02Dic20,3.60633333333333
03Dic20,3.597
04Dic20,3.59116666666667
07Dic20,3.60183333333333
08Dic20,n.d.
09Dic20,3.6035
10Dic20,3.60016666666667
11Dic20,3.59833333333333
14Dic20,3.58833333333333
15Dic20,3.59133333333333
16Dic20,3.58733333333333
17Dic20,3.58583333333333
18Dic20,3.597
21Dic20,3.60783333333333
22Dic20,3.6155
23Dic20,3.6125
24Dic20,3.6127
25Dic20,n.d.
28Dic20,3.61616666666667
29Dic20,3.6195
30Dic20,3.61983333333333
31Dic20,3.623
01Ene21,n.d.
04Ene21,3.62666666666667
05Ene21,3.63366666666667
06Ene21,3.62683333333333
07Ene21,3.623
08Ene21,3.61383333333333
11Ene21,3.61733333333333
12Ene21,3.609
13Ene21,3.614
14Ene21,3.6135
15Ene21,3.61266666666667
18Ene21,3.617
19Ene21,3.61333333333333
20Ene21,3.61533333333333
21Ene21,3.622
22Ene21,3.63416666666667
25Ene21,3.644
26Ene21,3.64516666666667
27Ene21,3.653
28Ene21,3.64666666666667
29Ene21,3.63933333333333
01Feb21,3.6395
02Feb21,3.63883333333333
03Feb21,3.6385
04Feb21,3.64566666666667
05Feb21,3.63933333333333
08Feb21,3.643
09Feb21,3.64266666666667
10Feb21,3.63816666666667
11Feb21,3.63883333333333
12Feb21,3.6455
15Feb21,3.645
16Feb21,3.651
17Feb21,3.655
18Feb21,3.65066666666667
19Feb21,3.65366666666667
22Feb21,3.6555
23Feb21,3.65366666666667
24Feb21,3.6505
25Feb21,3.64883333333333
26Feb21,3.65083333333333
01Mar21,3.6545
02Mar21,3.66516666666667
03Mar21,3.67633333333333
04Mar21,3.6775
05Mar21,3.6955
08Mar21,3.70466666666667
09Mar21,3.704
10Mar21,3.69416666666667
11Mar21,3.693
12Mar21,3.70566666666667
15Mar21,3.718
16Mar21,3.70566666666667
17Mar21,3.709
18Mar21,3.7075
19Mar21,3.71533333333333
22Mar21,3.72266666666667
23Mar21,3.71983333333333
24Mar21,3.72433333333333
25Mar21,3.73366666666667
26Mar21,3.73633333333333
29Mar21,3.75116666666667
30Mar21,3.76616666666667
